location,bath,balcony,price,bhk,sqft_area,price_per_sqft
1st block jayanagar,4.0,1.0,428.0,4,2850.0,15017.543859649122
1st block jayanagar,3.0,2.0,194.0,3,1630.0,11901.840490797545
1st block jayanagar,2.0,3.0,235.0,3,1875.0,12533.333333333334
1st block jayanagar,2.0,0.0,130.0,3,1200.0,10833.333333333334
1st block jayanagar,2.0,2.0,148.0,2,1235.0,11983.805668016194
1st block jayanagar,4.0,0.0,413.0,4,2750.0,15018.181818181818
1st block jayanagar,4.0,2.0,368.0,4,2450.0,15020.408163265307
1st block koramangala,3.0,2.0,300.0,3,1846.0,16251.354279523293
1st block koramangala,1.0,0.0,233.0,2,1410.0,16524.822695035462
1st block koramangala,2.0,2.0,150.0,2,1225.0,12244.897959183674
1st block koramangala,2.0,3.0,110.0,2,1415.0,7773.851590106007
1st block koramangala,4.0,1.0,520.0,4,4000.0,13000.0
1st block koramangala,2.0,1.0,135.0,2,1165.0,11587.982832618025
1st block koramangala,3.0,2.0,290.0,3,2400.0,12083.333333333334
1st block koramangala,3.0,2.0,400.0,3,2350.0,17021.27659574468
1st block koramangala,4.0,0.0,500.0,4,2400.0,20833.333333333332
1st block koramangala,3.0,1.0,300.0,4,1650.0,18181.81818181818
1st block koramangala,9.0,0.0,500.0,9,4500.0,11111.111111111111
1st block koramangala,2.0,1.0,110.0,2,1117.0,9847.806624888093
1st block koramangala,2.0,2.0,65.5,2,860.0,7616.279069767442
1st block koramangala,2.0,2.0,100.0,2,1209.0,8271.298593879239
1st block koramangala,3.0,2.0,400.0,3,3000.0,13333.333333333334
1st block koramangala,2.0,2.0,97.0,2,1269.0,7643.81402679275
1st block koramangala,5.0,3.0,500.0,4,3000.0,16666.666666666668
1st phase jp nagar,3.0,1.0,167.0,3,1875.0,8906.666666666666
1st phase jp nagar,5.0,0.0,85.0,5,1500.0,5666.666666666667
1st phase jp nagar,4.0,1.0,210.0,3,2065.0,10169.49152542373
1st phase jp nagar,3.0,2.0,225.0,3,2059.0,10927.634774162214
1st phase jp nagar,2.0,1.0,100.0,2,1394.0,7173.601147776184
1st phase jp nagar,2.0,2.0,93.0,2,1077.0,8635.097493036212
1st phase jp nagar,2.0,0.0,180.0,2,1566.0,11494.252873563219
1st phase jp nagar,2.0,2.0,50.0,1,840.0,5952.380952380952
1st phase jp nagar,3.0,3.0,131.0,3,1590.0,8238.993710691824
1st phase jp nagar,3.0,2.0,210.0,3,2180.0,9633.02752293578
1st phase jp nagar,2.0,2.0,88.5,2,1180.0,7500.0
1st phase jp nagar,2.0,0.0,86.0,2,1200.0,7166.666666666667
1st phase jp nagar,2.0,2.0,85.0,2,1394.0,6097.5609756097565
1st phase jp nagar,3.0,3.0,175.0,3,2077.0,8425.613866153106
1st phase jp nagar,2.0,1.0,85.0,2,1205.0,7053.941908713693
1st phase jp nagar,2.0,1.0,75.0,2,900.0,8333.333333333334
2nd block hrbr layout,2.0,1.0,80.0,2,1056.0,7575.757575757576
2nd block hrbr layout,3.0,2.0,90.0,3,1480.0,6081.081081081081
2nd block hrbr layout,3.0,2.0,90.0,3,1480.0,6081.081081081081
2nd block hrbr layout,3.0,3.0,110.0,3,1550.0,7096.774193548387
2nd block hrbr layout,3.0,1.0,210.0,4,1200.0,17500.0
2nd block hrbr layout,2.0,1.0,200.0,2,1200.0,16666.666666666668
2nd block hrbr layout,2.0,3.0,90.0,2,1320.0,6818.181818181818
2nd block hrbr layout,2.0,3.0,95.0,2,1300.0,7307.692307692308
2nd block hrbr layout,4.0,3.0,235.0,4,1350.0,17407.40740740741
2nd block hrbr layout,3.0,2.0,140.0,3,1650.0,8484.848484848484
2nd phase judicial layout,2.0,1.0,50.75,3,1450.0,3500.0
2nd phase judicial layout,2.0,1.0,40.25,2,1150.0,3500.0
2nd phase judicial layout,2.0,2.0,47.25,3,1350.0,3500.0
2nd phase judicial layout,2.0,2.0,47.25,3,1350.0,3500.0
2nd phase judicial layout,2.0,2.0,41.0,2,900.0,4555.555555555556
2nd phase judicial layout,3.0,3.0,69.0,3,1681.0,4104.699583581201
2nd phase judicial layout,2.0,2.0,47.25,3,1350.0,3500.0
2nd phase judicial layout,2.0,1.0,40.25,2,1150.0,3500.0
2nd stage nagarbhavi,4.0,2.0,220.0,4,1500.0,14666.666666666666
2nd stage nagarbhavi,4.0,1.0,200.0,4,1350.0,14814.814814814816
2nd stage nagarbhavi,4.0,1.0,225.0,4,1200.0,18750.0
2nd stage nagarbhavi,3.0,2.0,230.0,4,1500.0,15333.333333333334
4th t block jayanagar,3.0,1.0,528.0,5,3000.0,17600.0
4th t block jayanagar,4.0,2.0,440.0,4,2080.0,21153.846153846152
4th t block jayanagar,3.0,2.0,240.0,3,2005.0,11970.074812967581
4th t block jayanagar,2.0,2.0,110.0,2,1100.0,10000.0
4th t block jayanagar,2.0,0.0,190.0,3,1567.2,12123.532414497193
4th t block jayanagar,4.0,2.0,480.0,4,2400.0,20000.0
4th t block jayanagar,3.0,2.0,480.0,4,2400.0,20000.0
4th t block jayanagar,4.0,2.0,255.0,3,2100.0,12142.857142857143
4th t block jayanagar,3.0,2.0,171.0,3,1707.0,10017.574692442882
4th t block jayanagar,1.0,1.0,300.0,1,1500.0,20000.0
4th t block jayanagar,3.0,0.0,408.0,3,2400.0,17000.0
4th t block jayanagar,6.0,3.0,300.0,6,2000.0,15000.0
4th t block jayanagar,4.0,1.0,240.0,4,1440.0,16666.666666666668
4th t block jayanagar,3.0,3.0,220.0,3,2100.0,10476.190476190477
4th t block jayanagar,2.0,1.0,293.0,3,1903.0,15396.741986337362
5th block hbr layout,2.0,2.0,56.0,2,1206.0,4643.449419568822
5th block hbr layout,2.0,2.0,70.0,3,1270.0,5511.811023622047
5th block hbr layout,2.0,3.0,69.0,2,1312.0,5259.1463414634145
5th block hbr layout,1.0,0.0,45.0,1,600.0,7500.0
5th block hbr layout,2.0,2.0,48.0,2,1100.0,4363.636363636364
5th block hbr layout,5.0,3.0,130.0,5,3600.0,3611.1111111111113
5th block hbr layout,5.0,3.0,300.0,6,5100.0,5882.35294117647
5th block hbr layout,4.0,2.0,150.0,4,3150.0,4761.9047619047615
7th phase jp nagar,2.0,2.0,72.0,2,1080.0,6666.666666666667
7th phase jp nagar,2.0,2.0,93.0,2,1270.0,7322.834645669292
7th phase jp nagar,2.0,1.0,100.0,3,1420.0,7042.2535211267605
7th phase jp nagar,2.0,2.0,74.0,2,1192.0,6208.053691275168
7th phase jp nagar,3.0,1.0,150.0,3,1850.0,8108.108108108108
7th phase jp nagar,1.0,0.0,29.9,1,451.0,6629.711751662971
