,location
whitefield,539
sarjapur  road,400
7th phase jp nagar,321
electronic city,304
kanakpura road,270
thanisandra,236
yelahanka,210
uttarahalli,186
raja rajeshwari nagar,180
hebbal,176
marathahalli,175
bannerghatta road,152
hennur road,150
haralur road,142
electronic city phase ii,131
rajaji nagar,106
chandapura,98
bellandur,97
kothanur,92
electronics city phase 1,91
kr puram,88
hoodi,88
yeshwanthpur,85
begur road,85
sarjapur,81
kasavanhalli,80
harlur,79
ramagondanahalli,76
ramamurthy nagar,74
hormavu,74
banashankari,74
kengeri,73
hsr layout,73
koramangala,72
hosa road,72
varthur,70
old madras road,70
jakkur,68
jp nagar,67
akshaya nagar,67
thigalarapalya,64
kaggadasapura,64
tc palaya,64
nagarbhavi,63
rachenahalli,58
malleshwaram,57
budigere,54
jalahalli,52
hennur,52
hulimavu,52
jigani,52
bisuvanahalli,51
panathur,51
bommasandra,50
vijayanagar,50
hegde nagar,49
bhoganhalli,49
mysore road,48
gottigere,48
bommanahalli,47
sector 2 hsr layout,47
brookefield,47
kundalahalli,47
anandapura,46
indira nagar,46
hosur road,46
balagere,45
banashankari stage iii,45
cv raman nagar,43
subramanyapura,43
kadugodi,43
vittasandra,43
vidyaranyapura,43
channasandra,42
kanakapura,42
horamavu agara,42
attibele,42
yelahanka new town,41
devanahalli,40
kengeri satellite town,40
talaghattapura,40
frazer town,39
sahakara nagar,39
green glen layout,39
kudlu gate,38
r.t. nagar,36
hosakerehalli,36
lakshminarayana pura,36
anekal,36
dodda nekkundi,35
1st block koramangala,34
hebbal kempapura,34
chikkalasandra,34
tumkur road,33
kalena agrahara,33
old airport road,33
ambalipura,33
basavangudi,32
mahadevpura,31
ambedkar nagar,31
nri layout,31
doddathoguru,30
ananth nagar,30
kumaraswami layout,30
4th t block jayanagar,29
kudlu,29
kammasandra,29
btm 2nd stage,29
horamavu banaswadi,28
padmanabhanagar,28
banashankari stage vi,28
somasundara palya,28
kodichikkanahalli,27
singasandra,27
choodasandra,26
gubbalala,26
bommasandra industrial area,26
kodihalli,26
kogilu,25
babusapalaya,25
narayanapura,25
thubarahalli,25
iblur village,25
1st phase jp nagar,25
magadi road,25
battarahalli,25
seegehalli,25
kambipura,24
2nd stage nagarbhavi,24
amruthahalli,24
munnekollal,24
kathriguppe,24
ardendale,24
abbigere,24
